,Rule #,Generic,Applied to Options,Applied To Categories,Applied to Options,Applied to Categories,HASH,Processors,Arguments,Needs Review
0,1,1,1,0,1,0,1-1-0-1-0,1,,0
1,1,0,1,0,1,0,0-1-0-1-0,1,,0
2,2,1,1,0,0,0,1-1-0-0-0,5,,0
3,2,0,1,0,0,0,0-1-0-0-0,5,,0
4,3,1,1,0,0,1,1-1-0-0-1,6,1,1
5,4,0,1,0,0,1,0-1-0-0-1,6,,1
6,5,1,1,0,1,1,1-1-0-1-1,1,1,0
7,5,0,1,0,1,1,0-1-0-1-1,1,1,0
8,6,1,0,0,1,0,1-0-0-1-0,1,2,0
9,6,0,0,0,1,0,0-0-0-1-0,1,2,0
10,7,1,0,0,0,0,1-0-0-0-0,5,,1
11,7,0,0,0,0,0,0-0-0-0-0,5,,1
12,9,0,0,0,0,1,0-0-0-0-1,6,,1
13,10,0,0,0,1,1,0-0-0-1-1,1,3,0
14,11,0,0,1,1,0,0-0-1-1-0,3,,1
15,12,0,0,1,0,0,0-0-1-0-0,7,,1
16,13,0,0,1,0,1,0-0-1-0-1,1,1,0
17,14,0,0,1,1,1,0-0-1-1-1,1,1,0
18,15,0,1,1,1,0,0-1-1-1-0,1,,1
19,16,0,1,1,0,0,0-1-1-0-0,5,,1
20,17,0,1,1,0,1,0-1-1-0-1,5,1,0
21,18,0,1,1,1,1,0-1-1-1-1,1,1,0
22,19,0,N,N,1,0,0-N-N-1-0,3,,1
23,20,0,1,0,N,N,0-1-0-N-N,3,,1
,,,,,,,,,,